 

stn;time;tre200h0;hns000hs;rre150h0;ure200h0;hto000hs;fu3010h0
STG;2018011521;3.6;-;0.0;50.0;-;9.0
STG;2018011522;4.0;-;0.0;59.5;-;8.3
STG;2018011523;2.9;-;0.0;71.4;-;4.3
STG;2018011600;2.1;-;0.0;80.3;-;3.2
STG;2018011601;2.1;-;0.0;81.4;-;4.3
STG;2018011602;2.8;-;0.0;76.4;-;5.8
STG;2018011603;3.6;-;0.1;78.7;-;14.0
STG;2018011604;3.6;-;0.0;81.4;-;14.4
STG;2018011605;4.7;0;0.0;75.5;0;17.6
STG;2018011606;5.6;-;0.0;69.6;-;16.2
STG;2018011607;5.3;-;0.1;74.1;-;21.6
STG;2018011608;5.4;-;0.7;73.9;-;22.3
STG;2018011609;6.2;-;0.1;68.7;-;27.7
STG;2018011610;6.6;-;0.0;67.3;-;30.2
STG;2018011611;5.7;-;0.4;79.9;-;25.9
STG;2018011612;5.7;-;1.0;81.9;-;23.8
STG;2018011613;6.3;-;0.1;75.2;-;28.4
STG;2018011614;7.4;-;0.0;65.0;-;36.7
STG;2018011615;6.7;-;0.2;70.0;-;37.1
STG;2018011616;3.0;-;3.4;92.6;-;30.2
STG;2018011617;2.4;-;3.0;93.5;-;20.9
STG;2018011618;2.7;-;1.3;90.9;-;18.4
STG;2018011619;2.8;-;1.0;90.5;-;18.4
STG;2018011620;4.4;-;0.1;83.0;-;18.7
STG;2018011621;3.8;-;0.6;81.5;-;37.4
STG;2018011622;3.0;-;2.4;89.4;-;19.8
STG;2018011623;1.6;-;1.6;92.9;-;16.2
STG;2018011700;1.8;-;1.1;92.5;-;10.4
STG;2018011701;2.2;-;1.0;85.2;-;19.1
STG;2018011702;2.2;-;0.8;87.7;-;22.3
STG;2018011703;0.7;-;2.7;93.5;-;19.8
STG;2018011704;1.1;-;1.2;88.7;-;28.1
STG;2018011705;0.8;1;0.0;85.6;1;26.6
STG;2018011706;0.9;-;0.0;80.2;-;27.4
STG;2018011707;0.9;-;0.0;73.3;-;24.8
STG;2018011708;0.6;-;0.1;73.0;-;33.5
STG;2018011709;0.7;-;0.0;70.9;-;28.8
STG;2018011710;0.3;-;0.0;74.3;-;31.3
STG;2018011711;-0.7;-;0.1;86.8;-;29.5
STG;2018011712;-0.8;-;0.4;85.5;-;35.6
STG;2018011713;-1.0;-;0.0;76.0;-;29.9
STG;2018011714;-0.7;-;0.0;72.9;-;29.9
STG;2018011715;-0.4;-;0.0;71.3;-;27.4
STG;2018011716;-0.8;-;0.0;75.5;-;28.4
STG;2018011717;-0.4;-;0.0;70.0;-;25.6
STG;2018011718;-0.4;-;0.0;71.9;-;26.3
STG;2018011719;-0.6;-;0.1;77.7;-;25.2
STG;2018011720;-0.4;-;0.0;77.6;-;24.5
STG;2018011721;-0.1;-;0.0;73.2;-;23.4
STG;2018011722;0.2;-;0.0;69.3;-;26.6
STG;2018011723;0.1;-;0.0;68.6;-;22.0
STG;2018011800;-0.1;-;0.0;76.4;-;22.7
STG;2018011801;0.0;-;0.0;79.2;-;22.7
STG;2018011802;0.4;-;0.0;77.9;-;20.9
STG;2018011803;0.4;-;0.0;82.0;-;20.9
STG;2018011804;0.4;-;0.0;81.5;-;16.2
STG;2018011805;0.5;1;0.0;79.7;2;11.2
STG;2018011806;0.7;-;0.0;80.2;-;16.6
STG;2018011807;1.3;-;0.0;80.1;-;16.2
STG;2018011808;1.5;-;0.1;84.8;-;21.6
STG;2018011809;2.5;-;0.1;83.2;-;24.5
STG;2018011810;3.4;-;0.0;79.6;-;29.5
STG;2018011811;3.6;-;0.0;82.6;-;26.3
STG;2018011812;3.8;-;0.0;83.3;-;27.4
STG;2018011813;5.0;-;0.0;77.3;-;33.5
STG;2018011814;6.0;-;0.0;71.6;-;31.3
STG;2018011815;5.9;-;0.0;73.2;-;29.5
STG;2018011816;6.4;-;0.0;69.1;-;28.1
STG;2018011817;6.8;-;0.0;67.6;-;29.5
STG;2018011818;6.3;-;0.1;72.3;-;27.7
STG;2018011819;6.8;-;0.0;67.7;-;28.8
STG;2018011820;7.1;-;0.0;66.0;-;26.6
STG;2018011821;6.1;-;1.5;80.4;-;19.1
STG;2018011822;6.1;-;0.4;81.9;-;14.4
STG;2018011823;5.6;-;2.0;85.8;-;15.5
STG;2018011900;4.4;-;2.9;94.5;-;17.3
STG;2018011901;4.7;-;0.9;93.2;-;12.2
STG;2018011902;4.0;-;3.1;92.2;-;30.6
STG;2018011903;2.8;-;1.2;93.0;-;24.5
STG;2018011904;2.9;-;1.4;88.2;-;24.8
STG;2018011905;2.2;0;1.5;89.6;0;23.8
STG;2018011906;2.6;-;0.8;89.9;-;28.4
STG;2018011907;1.3;-;0.9;91.6;-;23.4
STG;2018011908;1.4;-;0.1;88.8;-;20.5
STG;2018011909;1.4;-;0.0;81.7;-;19.8
STG;2018011910;1.6;-;0.0;77.4;-;14.0
STG;2018011911;2.2;-;0.0;71.4;-;16.9
STG;2018011912;2.3;-;0.0;71.6;-;19.1
STG;2018011913;2.4;-;0.0;76.0;-;16.6
STG;2018011914;2.5;-;0.0;71.7;-;9.0
STG;2018011915;2.2;-;0.0;74.9;-;6.8
STG;2018011916;1.8;-;0.1;77.7;-;8.3
STG;2018011917;1.3;-;0.1;83.5;-;10.1
STG;2018011918;1.2;-;0.6;85.4;-;7.9
STG;2018011919;1.2;-;0.5;86.0;-;12.2
STG;2018011920;1.5;-;0.1;81.5;-;14.4
STG;2018011921;1.5;-;0.1;82.3;-;13.7
STG;2018011922;1.3;-;0.0;79.6;-;16.9
STG;2018011923;1.1;-;0.0;77.2;-;17.6
STG;2018012000;0.5;-;0.1;84.8;-;15.1
STG;2018012001;0.5;-;0.0;76.6;-;15.8
STG;2018012002;0.5;-;0.0;74.4;-;14.0
STG;2018012003;-0.1;-;0.1;79.1;-;13.0
STG;2018012004;0.0;-;0.0;73.7;-;17.6
STG;2018012005;0.0;1;0.0;70.8;1;12.6
STG;2018012006;0.2;-;0.0;68.8;-;14.8
STG;2018012007;0.4;-;0.0;66.0;-;14.8
STG;2018012008;0.0;-;0.0;74.6;-;12.6
STG;2018012009;0.2;-;0.0;74.0;-;12.6
STG;2018012010;0.6;-;0.0;74.3;-;9.4
STG;2018012011;1.7;-;0.0;65.1;-;10.1
STG;2018012012;2.9;-;0.0;53.6;-;6.5
STG;2018012013;3.6;-;0.0;48.7;-;6.1
STG;2018012014;3.6;-;0.0;55.7;-;3.2
STG;2018012015;4.0;-;0.0;54.7;-;5.0
STG;2018012016;3.2;-;0.0;67.3;-;5.4
STG;2018012017;2.0;-;0.0;79.6;-;2.5
STG;2018012018;1.9;-;0.6;86.2;-;4.7
STG;2018012019;2.8;-;1.1;88.4;-;18.4
STG;2018012020;3.7;-;2.0;90.1;-;17.3
STG;2018012021;4.1;-;0.9;89.1;-;24.1
STG;2018012022;4.3;-;3.5;91.5;-;19.4
STG;2018012023;4.3;-;1.6;90.2;-;23.8
STG;2018012100;4.6;-;0.7;90.0;-;20.2
STG;2018012101;4.6;-;3.2;92.4;-;19.8
STG;2018012102;4.2;-;2.6;93.6;-;22.3
STG;2018012103;3.9;-;1.7;93.4;-;28.1
STG;2018012104;2.8;-;0.1;94.0;-;19.1
STG;2018012105;2.8;0;0.0;87.8;0;20.2
STG;2018012106;2.5;-;0.0;87.0;-;19.1
STG;2018012107;2.7;-;0.1;89.1;-;23.4
